week_start,iso3,disease_code,entity_key,true_latent_outbreaks,detected_outbreaks,eventually_notified_outbreaks,true_ascertainment,true_suitability,usage,data_realism
2020-01-06,FRA,HPAI,FRA|HPAI,0,0,0,0.82,1.5029,EVALUATION_ONLY__NEVER_A_FEATURE,synthetic
2020-01-06,DEU,HPAI,DEU|HPAI,0,0,0,0.82,0.6235,EVALUATION_ONLY__NEVER_A_FEATURE,synthetic
2020-01-06,NLD,HPAI,NLD|HPAI,0,0,0,0.82,0.5164,EVALUATION_ONLY__NEVER_A_FEATURE,synthetic
2020-01-06,BEL,HPAI,BEL|HPAI,1,1,1,0.82,0.5859,EVALUATION_ONLY__NEVER_A_FEATURE,synthetic
2020-01-06,ITA,HPAI,ITA|HPAI,0,0,0,0.82,1.2791,EVALUATION_ONLY__NEVER_A_FEATURE,synthetic
2020-01-06,ESP,HPAI,ESP|HPAI,0,0,0,0.82,1.4262,EVALUATION_ONLY__NEVER_A_FEATURE,synthetic
2020-01-06,POL,HPAI,POL|HPAI,0,0,0,0.56,0.283,EVALUATION_ONLY__NEVER_A_FEATURE,synthetic
2020-01-06,HUN,HPAI,HUN|HPAI,0,0,0,0.56,1.2585,EVALUATION_ONLY__NEVER_A_FEATURE,synthetic
2020-01-06,ROU,HPAI,ROU|HPAI,0,0,0,0.56,1.0891,EVALUATION_ONLY__NEVER_A_FEATURE,synthetic
2020-01-06,BGR,HPAI,BGR|HPAI,0,0,0,0.56,1.5447,EVALUATION_ONLY__NEVER_A_FEATURE,synthetic
2020-01-06,SRB,HPAI,SRB|HPAI,0,0,0,0.56,1.0064,EVALUATION_ONLY__NEVER_A_FEATURE,synthetic
2020-01-06,UKR,HPAI,UKR|HPAI,0,0,0,0.29,0.7305,EVALUATION_ONLY__NEVER_A_FEATURE,synthetic
2020-01-06,MDA,HPAI,MDA|HPAI,0,0,0,0.29,1.7102,EVALUATION_ONLY__NEVER_A_FEATURE,synthetic
2020-01-06,RUS,HPAI,RUS|HPAI,0,0,0,0.56,0.1904,EVALUATION_ONLY__NEVER_A_FEATURE,synthetic
2020-01-06,TUR,HPAI,TUR|HPAI,0,0,0,0.56,1.8912,EVALUATION_ONLY__NEVER_A_FEATURE,synthetic
2020-01-06,GEO,HPAI,GEO|HPAI,0,0,0,0.29,1.6891,EVALUATION_ONLY__NEVER_A_FEATURE,synthetic
2020-01-06,ISR,HPAI,ISR|HPAI,1,1,1,0.82,1.1768,EVALUATION_ONLY__NEVER_A_FEATURE,synthetic
2020-01-06,EGY,HPAI,EGY|HPAI,0,0,0,0.29,0.7146,EVALUATION_ONLY__NEVER_A_FEATURE,synthetic
2020-01-06,TUN,HPAI,TUN|HPAI,0,0,0,0.29,1.4477,EVALUATION_ONLY__NEVER_A_FEATURE,synthetic
2020-01-06,MAR,HPAI,MAR|HPAI,0,0,0,0.29,1.0166,EVALUATION_ONLY__NEVER_A_FEATURE,synthetic
2020-01-13,FRA,HPAI,FRA|HPAI,0,0,0,0.82,1.1702,EVALUATION_ONLY__NEVER_A_FEATURE,synthetic
2020-01-13,DEU,HPAI,DEU|HPAI,0,0,0,0.82,0.8313,EVALUATION_ONLY__NEVER_A_FEATURE,synthetic
2020-01-13,NLD,HPAI,NLD|HPAI,0,0,0,0.82,0.4488,EVALUATION_ONLY__NEVER_A_FEATURE,synthetic
2020-01-13,BEL,HPAI,BEL|HPAI,0,0,0,0.82,0.4557,EVALUATION_ONLY__NEVER_A_FEATURE,synthetic
2020-01-13,ITA,HPAI,ITA|HPAI,1,1,1,0.82,1.5942,EVALUATION_ONLY__NEVER_A_FEATURE,synthetic
2020-01-13,ESP,HPAI,ESP|HPAI,0,0,0,0.82,1.6336,EVALUATION_ONLY__NEVER_A_FEATURE,synthetic
2020-01-13,POL,HPAI,POL|HPAI,0,0,0,0.56,0.3836,EVALUATION_ONLY__NEVER_A_FEATURE,synthetic
2020-01-13,HUN,HPAI,HUN|HPAI,0,0,0,0.56,0.9534,EVALUATION_ONLY__NEVER_A_FEATURE,synthetic
2020-01-13,ROU,HPAI,ROU|HPAI,0,0,0,0.56,1.1571,EVALUATION_ONLY__NEVER_A_FEATURE,synthetic
2020-01-13,BGR,HPAI,BGR|HPAI,0,0,0,0.56,1.7935,EVALUATION_ONLY__NEVER_A_FEATURE,synthetic
2020-01-13,SRB,HPAI,SRB|HPAI,0,0,0,0.56,1.1384,EVALUATION_ONLY__NEVER_A_FEATURE,synthetic
2020-01-13,UKR,HPAI,UKR|HPAI,1,1,1,0.29,0.7402,EVALUATION_ONLY__NEVER_A_FEATURE,synthetic
2020-01-13,MDA,HPAI,MDA|HPAI,0,0,0,0.29,1.6633,EVALUATION_ONLY__NEVER_A_FEATURE,synthetic
2020-01-13,RUS,HPAI,RUS|HPAI,1,1,1,0.56,0.1787,EVALUATION_ONLY__NEVER_A_FEATURE,synthetic
2020-01-13,TUR,HPAI,TUR|HPAI,0,0,0,0.56,1.7346,EVALUATION_ONLY__NEVER_A_FEATURE,synthetic
2020-01-13,GEO,HPAI,GEO|HPAI,0,0,0,0.29,1.701,EVALUATION_ONLY__NEVER_A_FEATURE,synthetic
2020-01-13,ISR,HPAI,ISR|HPAI,1,1,1,0.82,1.2505,EVALUATION_ONLY__NEVER_A_FEATURE,synthetic
2020-01-13,EGY,HPAI,EGY|HPAI,0,0,0,0.29,0.9111,EVALUATION_ONLY__NEVER_A_FEATURE,synthetic
2020-01-13,TUN,HPAI,TUN|HPAI,0,0,0,0.29,1.4493,EVALUATION_ONLY__NEVER_A_FEATURE,synthetic
2020-01-13,MAR,HPAI,MAR|HPAI,0,0,0,0.29,1.1168,EVALUATION_ONLY__NEVER_A_FEATURE,synthetic
2020-01-20,FRA,HPAI,FRA|HPAI,0,0,0,0.82,0.8097,EVALUATION_ONLY__NEVER_A_FEATURE,synthetic
2020-01-20,DEU,HPAI,DEU|HPAI,1,1,1,0.82,0.8439,EVALUATION_ONLY__NEVER_A_FEATURE,synthetic
2020-01-20,NLD,HPAI,NLD|HPAI,0,0,0,0.82,0.5528,EVALUATION_ONLY__NEVER_A_FEATURE,synthetic
2020-01-20,BEL,HPAI,BEL|HPAI,0,0,0,0.82,0.474,EVALUATION_ONLY__NEVER_A_FEATURE,synthetic
2020-01-20,ITA,HPAI,ITA|HPAI,2,2,2,0.82,1.4443,EVALUATION_ONLY__NEVER_A_FEATURE,synthetic
2020-01-20,ESP,HPAI,ESP|HPAI,0,0,0,0.82,1.6706,EVALUATION_ONLY__NEVER_A_FEATURE,synthetic
2020-01-20,POL,HPAI,POL|HPAI,0,0,0,0.56,0.3068,EVALUATION_ONLY__NEVER_A_FEATURE,synthetic
2020-01-20,HUN,HPAI,HUN|HPAI,0,0,0,0.56,0.9393,EVALUATION_ONLY__NEVER_A_FEATURE,synthetic
2020-01-20,ROU,HPAI,ROU|HPAI,0,0,0,0.56,1.739,EVALUATION_ONLY__NEVER_A_FEATURE,synthetic
2020-01-20,BGR,HPAI,BGR|HPAI,1,1,1,0.56,1.2677,EVALUATION_ONLY__NEVER_A_FEATURE,synthetic
2020-01-20,SRB,HPAI,SRB|HPAI,0,0,0,0.56,1.0758,EVALUATION_ONLY__NEVER_A_FEATURE,synthetic
2020-01-20,UKR,HPAI,UKR|HPAI,0,0,0,0.29,0.7496,EVALUATION_ONLY__NEVER_A_FEATURE,synthetic
2020-01-20,MDA,HPAI,MDA|HPAI,0,0,0,0.29,1.1079,EVALUATION_ONLY__NEVER_A_FEATURE,synthetic
2020-01-20,RUS,HPAI,RUS|HPAI,0,0,0,0.56,0.1581,EVALUATION_ONLY__NEVER_A_FEATURE,synthetic
2020-01-20,TUR,HPAI,TUR|HPAI,0,0,0,0.56,1.6851,EVALUATION_ONLY__NEVER_A_FEATURE,synthetic
2020-01-20,GEO,HPAI,GEO|HPAI,0,0,0,0.29,1.77,EVALUATION_ONLY__NEVER_A_FEATURE,synthetic
2020-01-20,ISR,HPAI,ISR|HPAI,1,1,1,0.82,1.6623,EVALUATION_ONLY__NEVER_A_FEATURE,synthetic
2020-01-20,EGY,HPAI,EGY|HPAI,0,0,0,0.29,0.7245,EVALUATION_ONLY__NEVER_A_FEATURE,synthetic
2020-01-20,TUN,HPAI,TUN|HPAI,0,0,0,0.29,1.7383,EVALUATION_ONLY__NEVER_A_FEATURE,synthetic
2020-01-20,MAR,HPAI,MAR|HPAI,0,0,0,0.29,1.5719,EVALUATION_ONLY__NEVER_A_FEATURE,synthetic
2020-01-27,FRA,HPAI,FRA|HPAI,0,0,0,0.82,0.9886,EVALUATION_ONLY__NEVER_A_FEATURE,synthetic
2020-01-27,DEU,HPAI,DEU|HPAI,0,0,0,0.82,1.1447,EVALUATION_ONLY__NEVER_A_FEATURE,synthetic
2020-01-27,NLD,HPAI,NLD|HPAI,0,0,0,0.82,0.4019,EVALUATION_ONLY__NEVER_A_FEATURE,synthetic
2020-01-27,BEL,HPAI,BEL|HPAI,0,0,0,0.82,0.5442,EVALUATION_ONLY__NEVER_A_FEATURE,synthetic
2020-01-27,ITA,HPAI,ITA|HPAI,0,0,0,0.82,1.7407,EVALUATION_ONLY__NEVER_A_FEATURE,synthetic
2020-01-27,ESP,HPAI,ESP|HPAI,1,1,1,0.82,1.5169,EVALUATION_ONLY__NEVER_A_FEATURE,synthetic
2020-01-27,POL,HPAI,POL|HPAI,0,0,0,0.56,0.3481,EVALUATION_ONLY__NEVER_A_FEATURE,synthetic
2020-01-27,HUN,HPAI,HUN|HPAI,0,0,0,0.56,1.1383,EVALUATION_ONLY__NEVER_A_FEATURE,synthetic
2020-01-27,ROU,HPAI,ROU|HPAI,0,0,0,0.56,2.09,EVALUATION_ONLY__NEVER_A_FEATURE,synthetic
2020-01-27,BGR,HPAI,BGR|HPAI,0,0,0,0.56,1.211,EVALUATION_ONLY__NEVER_A_FEATURE,synthetic
2020-01-27,SRB,HPAI,SRB|HPAI,0,0,0,0.56,1.3558,EVALUATION_ONLY__NEVER_A_FEATURE,synthetic
2020-01-27,UKR,HPAI,UKR|HPAI,1,1,1,0.29,0.596,EVALUATION_ONLY__NEVER_A_FEATURE,synthetic
2020-01-27,MDA,HPAI,MDA|HPAI,0,0,0,0.29,1.0513,EVALUATION_ONLY__NEVER_A_FEATURE,synthetic
2020-01-27,RUS,HPAI,RUS|HPAI,0,0,0,0.56,0.1139,EVALUATION_ONLY__NEVER_A_FEATURE,synthetic
2020-01-27,TUR,HPAI,TUR|HPAI,0,0,0,0.56,1.5337,EVALUATION_ONLY__NEVER_A_FEATURE,synthetic
2020-01-27,GEO,HPAI,GEO|HPAI,0,0,0,0.29,1.6529,EVALUATION_ONLY__NEVER_A_FEATURE,synthetic
2020-01-27,ISR,HPAI,ISR|HPAI,0,0,0,0.82,1.9344,EVALUATION_ONLY__NEVER_A_FEATURE,synthetic
2020-01-27,EGY,HPAI,EGY|HPAI,0,0,0,0.29,0.6975,EVALUATION_ONLY__NEVER_A_FEATURE,synthetic
2020-01-27,TUN,HPAI,TUN|HPAI,0,0,0,0.29,1.4368,EVALUATION_ONLY__NEVER_A_FEATURE,synthetic
2020-01-27,MAR,HPAI,MAR|HPAI,0,0,0,0.29,1.3336,EVALUATION_ONLY__NEVER_A_FEATURE,synthetic
2020-02-03,FRA,HPAI,FRA|HPAI,0,0,0,0.82,1.109,EVALUATION_ONLY__NEVER_A_FEATURE,synthetic
2020-02-03,DEU,HPAI,DEU|HPAI,0,0,0,0.82,1.0317,EVALUATION_ONLY__NEVER_A_FEATURE,synthetic
2020-02-03,NLD,HPAI,NLD|HPAI,0,0,0,0.82,0.3941,EVALUATION_ONLY__NEVER_A_FEATURE,synthetic
2020-02-03,BEL,HPAI,BEL|HPAI,0,0,0,0.82,0.5236,EVALUATION_ONLY__NEVER_A_FEATURE,synthetic
2020-02-03,ITA,HPAI,ITA|HPAI,1,1,1,0.82,1.5464,EVALUATION_ONLY__NEVER_A_FEATURE,synthetic
2020-02-03,ESP,HPAI,ESP|HPAI,0,0,0,0.82,1.2849,EVALUATION_ONLY__NEVER_A_FEATURE,synthetic
2020-02-03,POL,HPAI,POL|HPAI,0,0,0,0.56,0.5748,EVALUATION_ONLY__NEVER_A_FEATURE,synthetic
2020-02-03,HUN,HPAI,HUN|HPAI,0,0,0,0.56,0.761,EVALUATION_ONLY__NEVER_A_FEATURE,synthetic
2020-02-03,ROU,HPAI,ROU|HPAI,0,0,0,0.56,1.371,EVALUATION_ONLY__NEVER_A_FEATURE,synthetic
2020-02-03,BGR,HPAI,BGR|HPAI,0,0,0,0.56,1.5899,EVALUATION_ONLY__NEVER_A_FEATURE,synthetic
2020-02-03,SRB,HPAI,SRB|HPAI,1,1,1,0.56,1.6374,EVALUATION_ONLY__NEVER_A_FEATURE,synthetic
2020-02-03,UKR,HPAI,UKR|HPAI,0,0,0,0.29,0.7396,EVALUATION_ONLY__NEVER_A_FEATURE,synthetic
2020-02-03,MDA,HPAI,MDA|HPAI,0,0,0,0.29,1.0914,EVALUATION_ONLY__NEVER_A_FEATURE,synthetic
2020-02-03,RUS,HPAI,RUS|HPAI,0,0,0,0.56,0.2771,EVALUATION_ONLY__NEVER_A_FEATURE,synthetic
2020-02-03,TUR,HPAI,TUR|HPAI,0,0,0,0.56,1.4198,EVALUATION_ONLY__NEVER_A_FEATURE,synthetic
2020-02-03,GEO,HPAI,GEO|HPAI,0,0,0,0.29,2.0045,EVALUATION_ONLY__NEVER_A_FEATURE,synthetic
2020-02-03,ISR,HPAI,ISR|HPAI,2,2,2,0.82,1.5433,EVALUATION_ONLY__NEVER_A_FEATURE,synthetic
2020-02-03,EGY,HPAI,EGY|HPAI,0,0,0,0.29,0.6389,EVALUATION_ONLY__NEVER_A_FEATURE,synthetic
2020-02-03,TUN,HPAI,TUN|HPAI,0,0,0,0.29,1.3484,EVALUATION_ONLY__NEVER_A_FEATURE,synthetic
2020-02-03,MAR,HPAI,MAR|HPAI,0,0,0,0.29,1.1271,EVALUATION_ONLY__NEVER_A_FEATURE,synthetic
