signal_id,detected_date,screened_date,iso3,country,disease_code,signal_strength,verification_status,signal_type,underlying_sources,data_realism
BEACON-0000001,2020-01-06,2020-01-06,DEU,Germany,HPAI,0.637,verified,unusual_mortality,media;official,synthetic
BEACON-0000002,2020-01-08,2020-01-08,BEL,Belgium,HPAI,0.442,verified,trade_alert,official,synthetic
BEACON-0000003,2020-01-11,2020-01-11,ITA,Italy,HPAI,0.242,verified,media_cluster,media,synthetic
BEACON-0000004,2020-01-10,2020-01-12,ROU,Romania,HPAI,0.629,verified,syndromic,media,synthetic
BEACON-0000005,2020-01-09,2020-01-09,BGR,Bulgaria,HPAI,0.806,verified,unusual_mortality,official,synthetic
BEACON-0000006,2020-01-07,2020-01-09,RUS,Russian Federation,HPAI,0.458,unverified,media_cluster,media;official,synthetic
BEACON-0000007,2020-01-07,2020-01-07,TUR,Türkiye,HPAI,0.342,verified,media_cluster,media;official,synthetic
BEACON-0000008,2020-01-06,2020-01-06,EGY,Egypt,HPAI,0.333,verified,syndromic,media;official,synthetic
BEACON-0000009,2020-01-10,2020-01-10,MAR,Morocco,HPAI,0.158,unverified,media_cluster,media;official,synthetic
BEACON-0000010,2020-01-14,2020-01-14,FRA,France,HPAI,0.494,unverified,trade_alert,media;official,synthetic
BEACON-0000011,2020-01-17,2020-01-19,FRA,France,HPAI,0.692,verified,unusual_mortality,official,synthetic
BEACON-0000012,2020-01-13,2020-01-15,DEU,Germany,HPAI,0.41,verified,media_cluster,media;official,synthetic
BEACON-0000013,2020-01-16,2020-01-16,NLD,Netherlands,HPAI,0.193,unverified,syndromic,media;official,synthetic
BEACON-0000014,2020-01-13,2020-01-14,ITA,Italy,HPAI,0.412,unverified,syndromic,official,synthetic
BEACON-0000015,2020-01-16,2020-01-18,HUN,Hungary,HPAI,0.904,unverified,media_cluster,media,synthetic
BEACON-0000016,2020-01-17,2020-01-17,BGR,Bulgaria,HPAI,0.321,verified,unusual_mortality,media,synthetic
BEACON-0000017,2020-01-15,2020-01-17,BGR,Bulgaria,HPAI,0.433,verified,trade_alert,media,synthetic
BEACON-0000018,2020-01-14,2020-01-15,BGR,Bulgaria,HPAI,0.074,unverified,media_cluster,field,synthetic
BEACON-0000019,2020-01-14,2020-01-15,GEO,Georgia,HPAI,0.526,unverified,unusual_mortality,media,synthetic
BEACON-0000020,2020-01-18,2020-01-20,ISR,Israel,HPAI,0.201,unverified,syndromic,official,synthetic
BEACON-0000021,2020-01-17,2020-01-17,EGY,Egypt,HPAI,0.697,unverified,media_cluster,media;official,synthetic
BEACON-0000022,2020-01-16,2020-01-16,EGY,Egypt,HPAI,0.54,verified,media_cluster,official,synthetic
BEACON-0000023,2020-01-20,2020-01-21,BEL,Belgium,HPAI,0.555,verified,trade_alert,official,synthetic
BEACON-0000024,2020-01-23,2020-01-23,ITA,Italy,HPAI,0.27,unverified,media_cluster,media,synthetic
BEACON-0000025,2020-01-23,2020-01-23,ITA,Italy,HPAI,0.714,unverified,unusual_mortality,media,synthetic
BEACON-0000026,2020-01-24,2020-01-26,POL,Poland,HPAI,0.389,verified,trade_alert,media;official,synthetic
BEACON-0000027,2020-01-24,2020-01-26,SRB,Serbia,HPAI,0.224,verified,media_cluster,media,synthetic
BEACON-0000028,2020-01-21,2020-01-21,MDA,Moldova,HPAI,0.711,unverified,media_cluster,media,synthetic
