item_id,board,first_seen_date,iso3,country,disease_code,n_articles_in_cluster,relevance,triage_state,data_realism
EIOS-MOCK-000001,Animal Health,2020-01-08,BEL,Belgium,HPAI,4,0.448,under_review,mock
EIOS-MOCK-000002,Animal Health,2020-01-10,UKR,Ukraine,HPAI,2,0.301,new,mock
EIOS-MOCK-000003,Animal Health,2020-01-09,RUS,Russian Federation,HPAI,3,0.735,new,mock
EIOS-MOCK-000004,Animal Health,2020-01-10,TUR,Türkiye,HPAI,5,0.252,new,mock
EIOS-MOCK-000005,Animal Health,2020-01-10,EGY,Egypt,HPAI,3,0.539,new,mock
EIOS-MOCK-000006,Animal Health,2020-01-09,TUN,Tunisia,HPAI,4,0.527,new,mock
EIOS-MOCK-000007,Animal Health,2020-01-08,MAR,Morocco,HPAI,5,0.673,new,mock
EIOS-MOCK-000008,Animal Health,2020-01-19,FRA,France,HPAI,5,0.125,under_review,mock
EIOS-MOCK-000009,Animal Health,2020-01-15,MDA,Moldova,HPAI,4,0.04,new,mock
EIOS-MOCK-000010,Animal Health,2020-01-18,GEO,Georgia,HPAI,2,0.744,new,mock
EIOS-MOCK-000011,Animal Health,2020-01-26,NLD,Netherlands,HPAI,2,0.905,dismissed,mock
EIOS-MOCK-000012,Animal Health,2020-01-23,BEL,Belgium,HPAI,2,0.532,new,mock
EIOS-MOCK-000013,Animal Health,2020-01-21,HUN,Hungary,HPAI,1,0.254,under_review,mock
EIOS-MOCK-000014,Animal Health,2020-01-22,ROU,Romania,HPAI,2,0.531,dismissed,mock
EIOS-MOCK-000015,Animal Health,2020-01-24,GEO,Georgia,HPAI,6,0.428,dismissed,mock
EIOS-MOCK-000016,Animal Health,2020-02-03,UKR,Ukraine,HPAI,6,0.301,dismissed,mock
EIOS-MOCK-000017,Animal Health,2020-02-04,TUR,Türkiye,HPAI,2,0.611,dismissed,mock
EIOS-MOCK-000018,Animal Health,2020-02-05,ISR,Israel,HPAI,5,0.675,dismissed,mock
EIOS-MOCK-000019,Animal Health,2020-02-09,MAR,Morocco,HPAI,3,0.212,dismissed,mock
EIOS-MOCK-000020,Animal Health,2020-02-17,ROU,Romania,HPAI,5,0.421,new,mock
EIOS-MOCK-000021,Animal Health,2020-02-18,MDA,Moldova,HPAI,4,0.452,under_review,mock
EIOS-MOCK-000022,Animal Health,2020-02-18,RUS,Russian Federation,HPAI,3,0.671,new,mock
EIOS-MOCK-000023,Animal Health,2020-02-21,TUR,Türkiye,HPAI,2,0.27,new,mock
EIOS-MOCK-000024,Animal Health,2020-02-27,DEU,Germany,HPAI,4,0.906,new,mock
EIOS-MOCK-000025,Animal Health,2020-02-26,UKR,Ukraine,HPAI,3,0.383,new,mock
EIOS-MOCK-000026,Animal Health,2020-02-29,ISR,Israel,HPAI,3,0.619,new,mock
EIOS-MOCK-000027,Animal Health,2020-03-07,ISR,Israel,HPAI,5,0.538,under_review,mock
EIOS-MOCK-000028,Animal Health,2020-03-11,ITA,Italy,HPAI,2,0.621,new,mock
EIOS-MOCK-000029,Animal Health,2020-03-09,HUN,Hungary,HPAI,4,0.508,new,mock
EIOS-MOCK-000030,Animal Health,2020-03-09,RUS,Russian Federation,HPAI,5,0.081,under_review,mock
EIOS-MOCK-000031,Animal Health,2020-03-22,DEU,Germany,HPAI,3,0.827,new,mock
EIOS-MOCK-000032,Animal Health,2020-03-21,MDA,Moldova,HPAI,3,0.482,new,mock
EIOS-MOCK-000033,Animal Health,2020-03-16,RUS,Russian Federation,HPAI,9,0.637,dismissed,mock
EIOS-MOCK-000034,Animal Health,2020-03-23,ITA,Italy,HPAI,4,0.882,new,mock
EIOS-MOCK-000035,Animal Health,2020-03-28,TUR,Türkiye,HPAI,2,0.613,new,mock
EIOS-MOCK-000036,Animal Health,2020-04-05,HUN,Hungary,HPAI,2,0.123,dismissed,mock
EIOS-MOCK-000037,Animal Health,2020-04-01,ROU,Romania,HPAI,1,0.318,dismissed,mock
EIOS-MOCK-000038,Animal Health,2020-04-04,SRB,Serbia,HPAI,2,0.48,new,mock
EIOS-MOCK-000039,Animal Health,2020-04-04,TUN,Tunisia,HPAI,4,0.494,dismissed,mock
EIOS-MOCK-000040,Animal Health,2020-04-05,MAR,Morocco,HPAI,4,0.521,dismissed,mock
EIOS-MOCK-000041,Animal Health,2020-04-09,ITA,Italy,HPAI,3,0.72,new,mock
EIOS-MOCK-000042,Animal Health,2020-04-08,POL,Poland,HPAI,3,0.561,new,mock
