empresi_id,source_reference,upstream_source,disease,disease_code,country,iso3,latitude,longitude,observation_date,report_date,published_date,species,cases,deaths,status,data_realism
EMPRESI-HPAI-0000001,WAHIS-HPAI-BEL-2020-01-06-00,WAHIS,High pathogenicity avian influenza,HPAI,Belgium,BEL,50.7396,4.9223,2020-01-10,2020-01-15,2020-01-22,Meleagris gallopavo (domestic),2159,1173,confirmed,synthetic
EMPRESI-HPAI-0000002,WAHIS-HPAI-ISR-2020-01-06-00,WAHIS,High pathogenicity avian influenza,HPAI,Israel,ISR,31.5737,35.4609,2020-01-11,2020-01-23,2020-02-04,Larus spp. (wild),1898,1025,confirmed,synthetic
EMPRESI-HPAI-0000005,WAHIS-HPAI-RUS-2020-01-13-00,WAHIS,High pathogenicity avian influenza,HPAI,Russian Federation,RUS,50.7788,40.6814,2020-01-15,2020-01-29,2020-02-06,Cygnus olor (wild),3637,1949,confirmed,synthetic
EMPRESI-HPAI-0000007,WAHIS-HPAI-DEU-2020-01-20-00,WAHIS,High pathogenicity avian influenza,HPAI,Germany,DEU,50.9729,8.2662,2020-01-23,2020-01-30,2020-02-07,Meleagris gallopavo (domestic),10011,5535,confirmed,synthetic
EMPRESI-HPAI-0000009,WAHIS-HPAI-ITA-2020-01-20-01,WAHIS,High pathogenicity avian influenza,HPAI,Italy,ITA,45.3004,11.3156,2020-01-21,2020-02-02,2020-02-13,Anas platyrhynchos (domestic),2412,1316,confirmed,synthetic
EMPRESI-HPAI-0000010,WAHIS-HPAI-BGR-2020-01-20-00,WAHIS,High pathogenicity avian influenza,HPAI,Bulgaria,BGR,44.2553,24.7872,2020-01-23,2020-02-08,2020-02-14,Larus spp. (wild),6463,3475,confirmed,synthetic
EMPRESI-HPAI-0000013,WAHIS-HPAI-UKR-2020-01-27-00,WAHIS,High pathogenicity avian influenza,HPAI,Ukraine,UKR,51.9894,32.5589,2020-01-31,2020-02-19,2020-02-23,Larus spp. (wild),11315,6262,confirmed,synthetic
EMPRESI-HPAI-0000018,WAHIS-HPAI-ISR-2020-02-10-00,WAHIS,High pathogenicity avian influenza,HPAI,Israel,ISR,31.7001,34.9963,2020-02-15,2020-02-20,2020-02-25,Meleagris gallopavo (domestic),748,395,confirmed,synthetic
EMPRESI-HPAI-0000017,WAHIS-HPAI-ISR-2020-02-03-01,WAHIS,High pathogenicity avian influenza,HPAI,Israel,ISR,31.8709,35.3255,2020-02-03,2020-02-16,2020-02-27,Anas platyrhynchos (domestic),1122,637,confirmed,synthetic
EMPRESI-HPAI-0000014,WAHIS-HPAI-ITA-2020-02-03-00,WAHIS,High pathogenicity avian influenza,HPAI,Italy,ITA,43.2841,9.6003,2020-02-05,2020-02-17,2020-02-27,Larus spp. (wild),2420,1366,confirmed,synthetic
