week_start,iso3,t2m_mean_c,t2m_min_c,t2m_max_c,total_precipitation_mm,relative_humidity_pct,wind_speed_10m_ms,aggregation,release_lag_days,data_realism
2020-01-06,FRA,-3.933,-8.533,1.167,44.505,74.79,3.89,country_area_weighted_mean,6,synthetic
2020-01-06,DEU,-8.161,-12.761,-3.061,27.066,72.83,3.541,country_area_weighted_mean,6,synthetic
2020-01-06,NLD,-11.112,-15.712,-6.012,58.243,85.86,4.165,country_area_weighted_mean,6,synthetic
2020-01-06,BEL,-9.111,-13.711,-4.011,32.16,72.83,3.643,country_area_weighted_mean,6,synthetic
2020-01-06,ITA,-2.626,-7.226,2.474,21.689,61.28,3.434,country_area_weighted_mean,6,synthetic
2020-01-06,ESP,-2.006,-6.606,3.094,23.922,68.64,3.478,country_area_weighted_mean,6,synthetic
2020-01-06,POL,-12.341,-16.941,-7.241,26.374,77.91,3.527,country_area_weighted_mean,6,synthetic
2020-01-06,HUN,-5.424,-10.024,-0.324,44.996,75.46,3.9,country_area_weighted_mean,6,synthetic
2020-01-06,ROU,-6.442,-11.042,-1.342,37.632,76.04,3.753,country_area_weighted_mean,6,synthetic
2020-01-06,BGR,-4.976,-9.576,0.124,46.583,73.57,3.932,country_area_weighted_mean,6,synthetic
2020-01-06,SRB,-5.505,-10.105,-0.405,20.109,70.5,3.402,country_area_weighted_mean,6,synthetic
2020-01-06,UKR,-7.837,-12.437,-2.737,29.042,80.57,3.581,country_area_weighted_mean,6,synthetic
2020-01-06,MDA,-2.687,-7.287,2.413,38.039,71.99,3.761,country_area_weighted_mean,6,synthetic
2020-01-06,RUS,-12.548,-17.148,-7.448,22.114,72.35,3.442,country_area_weighted_mean,6,synthetic
2020-01-06,TUR,0.14,-4.46,5.24,44.634,70.32,3.893,country_area_weighted_mean,6,synthetic
2020-01-06,GEO,-2.894,-7.494,2.206,43.983,73.25,3.88,country_area_weighted_mean,6,synthetic
2020-01-06,ISR,4.365,-0.235,9.465,20.362,61.85,3.407,country_area_weighted_mean,6,synthetic
2020-01-06,EGY,9.381,4.781,14.481,24.379,60.17,3.488,country_area_weighted_mean,6,synthetic
2020-01-06,TUN,2.3,-2.3,7.4,24.58,67.36,3.492,country_area_weighted_mean,6,synthetic
2020-01-06,MAR,6.857,2.257,11.957,19.601,65.93,3.392,country_area_weighted_mean,6,synthetic
2020-01-13,FRA,-6.225,-10.825,-1.125,55.258,76.59,4.105,country_area_weighted_mean,6,synthetic
2020-01-13,DEU,-7.889,-12.489,-2.789,46.515,83.44,3.93,country_area_weighted_mean,6,synthetic
2020-01-13,NLD,-9.799,-14.399,-4.699,30.72,74.49,3.614,country_area_weighted_mean,6,synthetic
2020-01-13,BEL,-9.625,-14.225,-4.525,23.424,69.15,3.468,country_area_weighted_mean,6,synthetic
2020-01-13,ITA,-2.812,-7.412,2.288,40.392,70.82,3.808,country_area_weighted_mean,6,synthetic
2020-01-13,ESP,-4.61,-9.21,0.49,47.687,74.07,3.954,country_area_weighted_mean,6,synthetic
2020-01-13,POL,-10.258,-14.858,-5.158,26.847,77.35,3.537,country_area_weighted_mean,6,synthetic
2020-01-13,HUN,-7.093,-11.693,-1.993,41.63,75.15,3.833,country_area_weighted_mean,6,synthetic
2020-01-13,ROU,-5.373,-9.973,-0.273,39.79,74.16,3.796,country_area_weighted_mean,6,synthetic
2020-01-13,BGR,-3.723,-8.323,1.377,61.154,80.44,4.223,country_area_weighted_mean,6,synthetic
2020-01-13,SRB,-5.028,-9.628,0.072,31.588,68.8,3.632,country_area_weighted_mean,6,synthetic
2020-01-13,UKR,-7.319,-11.919,-2.219,27.963,71.96,3.559,country_area_weighted_mean,6,synthetic
2020-01-13,MDA,-3.436,-8.036,1.664,43.72,74.37,3.874,country_area_weighted_mean,6,synthetic
2020-01-13,RUS,-13.173,-17.773,-8.073,31.942,78.06,3.639,country_area_weighted_mean,6,synthetic
2020-01-13,TUR,-0.243,-4.843,4.857,39.281,75.24,3.786,country_area_weighted_mean,6,synthetic
2020-01-13,GEO,-1.829,-6.429,3.271,39.899,73.16,3.798,country_area_weighted_mean,6,synthetic
2020-01-13,ISR,4.286,-0.314,9.386,26.322,65.52,3.526,country_area_weighted_mean,6,synthetic
2020-01-13,EGY,7.874,3.274,12.974,31.817,61.77,3.636,country_area_weighted_mean,6,synthetic
2020-01-13,TUN,2.431,-2.169,7.531,28.263,70.06,3.565,country_area_weighted_mean,6,synthetic
2020-01-13,MAR,7.051,2.451,12.151,26.867,67.9,3.537,country_area_weighted_mean,6,synthetic
2020-01-20,FRA,-7.059,-11.659,-1.959,29.952,75.31,3.599,country_area_weighted_mean,6,synthetic
2020-01-20,DEU,-8.599,-13.199,-3.499,64.047,87.38,4.281,country_area_weighted_mean,6,synthetic
2020-01-20,NLD,-8.872,-13.472,-3.772,29.839,70.44,3.597,country_area_weighted_mean,6,synthetic
2020-01-20,BEL,-10.454,-15.054,-5.354,38.622,72.23,3.772,country_area_weighted_mean,6,synthetic
2020-01-20,ITA,-2.518,-7.118,2.582,29.524,71.93,3.59,country_area_weighted_mean,6,synthetic
2020-01-20,ESP,-3.977,-8.577,1.123,49.039,74.55,3.981,country_area_weighted_mean,6,synthetic
2020-01-20,POL,-11.585,-16.185,-6.485,29.111,79.59,3.582,country_area_weighted_mean,6,synthetic
2020-01-20,HUN,-7.783,-12.383,-2.683,49.659,80.26,3.993,country_area_weighted_mean,6,synthetic
2020-01-20,ROU,-4.183,-8.783,0.917,61.678,77.07,4.234,country_area_weighted_mean,6,synthetic
2020-01-20,BGR,-3.821,-8.421,1.279,32.401,70.56,3.648,country_area_weighted_mean,6,synthetic
2020-01-20,SRB,-4.895,-9.495,0.205,29.353,68.63,3.587,country_area_weighted_mean,6,synthetic
2020-01-20,UKR,-6.357,-10.957,-1.257,16.178,71.06,3.324,country_area_weighted_mean,6,synthetic
2020-01-20,MDA,-5.56,-10.16,-0.46,36.449,71.57,3.729,country_area_weighted_mean,6,synthetic
2020-01-20,RUS,-14.327,-18.927,-9.227,46.374,79.92,3.927,country_area_weighted_mean,6,synthetic
2020-01-20,TUR,0.297,-4.303,5.397,33.552,75.94,3.671,country_area_weighted_mean,6,synthetic
2020-01-20,GEO,-1.815,-6.415,3.285,43.276,69.98,3.866,country_area_weighted_mean,6,synthetic
2020-01-20,ISR,4.192,-0.408,9.292,49.186,71.33,3.984,country_area_weighted_mean,6,synthetic
2020-01-20,EGY,9.349,4.749,14.449,25.099,61.85,3.502,country_area_weighted_mean,6,synthetic
2020-01-20,TUN,3.908,-0.692,9.008,43.472,70.87,3.869,country_area_weighted_mean,6,synthetic
2020-01-20,MAR,4.608,0.008,9.708,48.905,72.95,3.978,country_area_weighted_mean,6,synthetic
2020-01-27,FRA,-6.359,-10.959,-1.259,42.13,75.93,3.843,country_area_weighted_mean,6,synthetic
2020-01-27,DEU,-7.56,-12.16,-2.46,73.602,80.27,4.472,country_area_weighted_mean,6,synthetic
2020-01-27,NLD,-10.865,-15.465,-5.765,41.564,76.64,3.831,country_area_weighted_mean,6,synthetic
2020-01-27,BEL,-9.467,-14.067,-4.367,39.876,72.09,3.798,country_area_weighted_mean,6,synthetic
2020-01-27,ITA,-1.628,-6.228,3.472,36.732,70.47,3.735,country_area_weighted_mean,6,synthetic
2020-01-27,ESP,-3.538,-8.138,1.562,39.027,73.46,3.781,country_area_weighted_mean,6,synthetic
2020-01-27,POL,-12.885,-17.485,-7.785,69.967,82.97,4.399,country_area_weighted_mean,6,synthetic
2020-01-27,HUN,-6.103,-10.703,-1.003,46.581,75.02,3.932,country_area_weighted_mean,6,synthetic
2020-01-27,ROU,-3.921,-8.521,1.179,79.02,83.14,4.58,country_area_weighted_mean,6,synthetic
2020-01-27,BGR,-3.045,-7.645,2.055,22.907,67.05,3.458,country_area_weighted_mean,6,synthetic
2020-01-27,SRB,-4.697,-9.297,0.403,50.925,78.83,4.019,country_area_weighted_mean,6,synthetic
2020-01-27,UKR,-7.472,-12.072,-2.372,15.381,71.28,3.308,country_area_weighted_mean,6,synthetic
2020-01-27,MDA,-7.237,-11.837,-2.137,57.349,78.52,4.147,country_area_weighted_mean,6,synthetic
2020-01-27,RUS,-14.531,-19.131,-9.431,23.776,81.47,3.476,country_area_weighted_mean,6,synthetic
2020-01-27,TUR,-1.097,-5.697,4.003,34.627,76.85,3.693,country_area_weighted_mean,6,synthetic
2020-01-27,GEO,-2.935,-7.535,2.165,48.689,72.0,3.974,country_area_weighted_mean,6,synthetic
2020-01-27,ISR,3.928,-0.672,9.028,61.49,76.24,4.23,country_area_weighted_mean,6,synthetic
2020-01-27,EGY,9.799,5.199,14.899,25.549,63.78,3.511,country_area_weighted_mean,6,synthetic
2020-01-27,TUN,3.79,-0.81,8.89,29.573,64.11,3.591,country_area_weighted_mean,6,synthetic
2020-01-27,MAR,6.413,1.813,11.513,38.452,67.98,3.769,country_area_weighted_mean,6,synthetic
2020-02-03,FRA,-6.376,-10.976,-1.276,54.114,79.84,4.082,country_area_weighted_mean,6,synthetic
2020-02-03,DEU,-7.914,-12.514,-2.814,70.013,80.27,4.4,country_area_weighted_mean,6,synthetic
2020-02-03,NLD,-10.953,-15.553,-5.853,39.746,76.46,3.795,country_area_weighted_mean,6,synthetic
