week_start,iso3,skin_temperature_c,soil_temperature_l1_c,volumetric_soil_water_l1,snow_depth_m,aggregation,release_lag_days,data_realism
2020-01-06,FRA,-3.002,-2.05,0.3525,0.0684,country_area_weighted_mean,6,synthetic
2020-01-06,DEU,-7.166,-5.318,0.3039,0.124,country_area_weighted_mean,6,synthetic
2020-01-06,NLD,-10.731,-8.923,0.4487,0.1596,country_area_weighted_mean,6,synthetic
2020-01-06,BEL,-8.132,-6.498,0.3275,0.1245,country_area_weighted_mean,6,synthetic
2020-01-06,ITA,-1.902,-1.409,0.2279,0.0523,country_area_weighted_mean,6,synthetic
2020-01-06,ESP,-2.281,-0.135,0.2729,0.0452,country_area_weighted_mean,6,synthetic
2020-01-06,POL,-11.714,-8.452,0.2974,0.1661,country_area_weighted_mean,6,synthetic
2020-01-06,HUN,-4.529,-3.679,0.3447,0.0873,country_area_weighted_mean,6,synthetic
2020-01-06,ROU,-5.318,-4.392,0.3243,0.1049,country_area_weighted_mean,6,synthetic
2020-01-06,BGR,-4.166,-3.882,0.3746,0.0907,country_area_weighted_mean,6,synthetic
2020-01-06,SRB,-5.642,-3.193,0.2414,0.0837,country_area_weighted_mean,6,synthetic
2020-01-06,UKR,-6.951,-6.157,0.2956,0.1226,country_area_weighted_mean,6,synthetic
2020-01-06,MDA,-1.692,-0.378,0.3393,0.0557,country_area_weighted_mean,6,synthetic
2020-01-06,RUS,-12.155,-9.296,0.2698,0.1748,country_area_weighted_mean,6,synthetic
2020-01-06,TUR,0.367,1.944,0.3434,0.0229,country_area_weighted_mean,6,synthetic
2020-01-06,GEO,-1.594,-1.175,0.3457,0.0628,country_area_weighted_mean,6,synthetic
2020-01-06,ISR,5.229,5.131,0.2696,0.0,country_area_weighted_mean,6,synthetic
2020-01-06,EGY,10.282,9.48,0.297,0.0,country_area_weighted_mean,6,synthetic
2020-01-06,TUN,3.137,3.827,0.2677,0.0,country_area_weighted_mean,6,synthetic
2020-01-06,MAR,7.676,7.171,0.2458,0.0,country_area_weighted_mean,6,synthetic
2020-01-13,FRA,-5.292,-3.971,0.3918,0.0917,country_area_weighted_mean,6,synthetic
2020-01-13,DEU,-7.255,-6.276,0.3604,0.1148,country_area_weighted_mean,6,synthetic
2020-01-13,NLD,-8.716,-7.386,0.2954,0.1454,country_area_weighted_mean,6,synthetic
2020-01-13,BEL,-9.258,-7.428,0.2767,0.1327,country_area_weighted_mean,6,synthetic
2020-01-13,ITA,-1.375,-1.743,0.3398,0.0603,country_area_weighted_mean,6,synthetic
2020-01-13,ESP,-4.043,-2.523,0.378,0.078,country_area_weighted_mean,6,synthetic
2020-01-13,POL,-9.711,-7.421,0.2776,0.1513,country_area_weighted_mean,6,synthetic
2020-01-13,HUN,-6.503,-5.244,0.3222,0.111,country_area_weighted_mean,6,synthetic
2020-01-13,ROU,-4.84,-3.775,0.3434,0.0831,country_area_weighted_mean,6,synthetic
2020-01-13,BGR,-3.189,-0.982,0.4391,0.062,country_area_weighted_mean,6,synthetic
2020-01-13,SRB,-4.137,-3.26,0.2915,0.0812,country_area_weighted_mean,6,synthetic
2020-01-13,UKR,-6.713,-5.525,0.276,0.1156,country_area_weighted_mean,6,synthetic
2020-01-13,MDA,-1.951,-1.239,0.3727,0.0701,country_area_weighted_mean,6,synthetic
2020-01-13,RUS,-12.559,-9.662,0.3144,0.1794,country_area_weighted_mean,6,synthetic
2020-01-13,TUR,0.681,1.057,0.338,0.0298,country_area_weighted_mean,6,synthetic
2020-01-13,GEO,-1.482,-1.127,0.3277,0.0384,country_area_weighted_mean,6,synthetic
2020-01-13,ISR,4.99,5.49,0.277,0.0,country_area_weighted_mean,6,synthetic
2020-01-13,EGY,8.518,7.158,0.3402,0.0,country_area_weighted_mean,6,synthetic
2020-01-13,TUN,3.727,3.559,0.2702,0.0,country_area_weighted_mean,6,synthetic
2020-01-13,MAR,8.097,6.897,0.2626,0.0,country_area_weighted_mean,6,synthetic
2020-01-20,FRA,-5.999,-4.301,0.3008,0.1138,country_area_weighted_mean,6,synthetic
2020-01-20,DEU,-7.199,-5.84,0.4465,0.1302,country_area_weighted_mean,6,synthetic
2020-01-20,NLD,-7.994,-6.427,0.2959,0.1265,country_area_weighted_mean,6,synthetic
2020-01-20,BEL,-10.154,-7.617,0.3238,0.1477,country_area_weighted_mean,6,synthetic
2020-01-20,ITA,-1.872,-0.214,0.2937,0.0527,country_area_weighted_mean,6,synthetic
2020-01-20,ESP,-3.525,-2.276,0.3707,0.0682,country_area_weighted_mean,6,synthetic
2020-01-20,POL,-10.29,-9.513,0.3006,0.1688,country_area_weighted_mean,6,synthetic
2020-01-20,HUN,-6.563,-5.795,0.3592,0.1131,country_area_weighted_mean,6,synthetic
2020-01-20,ROU,-3.718,-2.396,0.3972,0.0792,country_area_weighted_mean,6,synthetic
2020-01-20,BGR,-3.177,-2.724,0.3197,0.0718,country_area_weighted_mean,6,synthetic
2020-01-20,SRB,-5.07,-3.657,0.2856,0.0808,country_area_weighted_mean,6,synthetic
2020-01-20,UKR,-6.277,-3.831,0.2289,0.1012,country_area_weighted_mean,6,synthetic
2020-01-20,MDA,-4.79,-4.124,0.3508,0.0886,country_area_weighted_mean,6,synthetic
2020-01-20,RUS,-13.601,-10.819,0.3404,0.1966,country_area_weighted_mean,6,synthetic
2020-01-20,TUR,0.522,1.222,0.3182,0.0169,country_area_weighted_mean,6,synthetic
2020-01-20,GEO,-2.246,-1.435,0.3522,0.0515,country_area_weighted_mean,6,synthetic
2020-01-20,ISR,4.56,5.242,0.3946,0.0,country_area_weighted_mean,6,synthetic
2020-01-20,EGY,10.081,9.004,0.2856,0.0,country_area_weighted_mean,6,synthetic
2020-01-20,TUN,4.708,4.31,0.3573,0.0,country_area_weighted_mean,6,synthetic
2020-01-20,MAR,5.574,4.908,0.3722,0.0,country_area_weighted_mean,6,synthetic
2020-01-27,FRA,-5.39,-3.709,0.3288,0.1029,country_area_weighted_mean,6,synthetic
2020-01-27,DEU,-6.621,-5.711,0.4799,0.1155,country_area_weighted_mean,6,synthetic
2020-01-27,NLD,-10.253,-7.404,0.328,0.155,country_area_weighted_mean,6,synthetic
2020-01-27,BEL,-8.295,-7.197,0.3473,0.1394,country_area_weighted_mean,6,synthetic
2020-01-27,ITA,-0.359,-0.25,0.3224,0.0453,country_area_weighted_mean,6,synthetic
2020-01-27,ESP,-2.77,-2.061,0.3237,0.0676,country_area_weighted_mean,6,synthetic
2020-01-27,POL,-12.57,-9.981,0.4692,0.1744,country_area_weighted_mean,6,synthetic
2020-01-27,HUN,-6.279,-4.154,0.3831,0.0952,country_area_weighted_mean,6,synthetic
2020-01-27,ROU,-1.89,-2.537,0.49,0.0689,country_area_weighted_mean,6,synthetic
2020-01-27,BGR,-2.546,-1.78,0.2334,0.0569,country_area_weighted_mean,6,synthetic
2020-01-27,SRB,-3.25,-4.097,0.385,0.0741,country_area_weighted_mean,6,synthetic
2020-01-27,UKR,-6.189,-4.378,0.243,0.1125,country_area_weighted_mean,6,synthetic
2020-01-27,MDA,-6.368,-4.58,0.4091,0.1129,country_area_weighted_mean,6,synthetic
2020-01-27,RUS,-13.614,-10.297,0.2683,0.1926,country_area_weighted_mean,6,synthetic
2020-01-27,TUR,0.492,0.057,0.3119,0.0405,country_area_weighted_mean,6,synthetic
2020-01-27,GEO,-2.674,-0.952,0.3692,0.0539,country_area_weighted_mean,6,synthetic
2020-01-27,ISR,5.5,5.149,0.4254,0.0,country_area_weighted_mean,6,synthetic
2020-01-27,EGY,10.907,9.501,0.2816,0.0,country_area_weighted_mean,6,synthetic
2020-01-27,TUN,5.097,4.324,0.2986,0.0,country_area_weighted_mean,6,synthetic
2020-01-27,MAR,7.353,7.055,0.3181,0.0,country_area_weighted_mean,6,synthetic
2020-02-03,FRA,-5.665,-5.005,0.347,0.1034,country_area_weighted_mean,6,synthetic
2020-02-03,DEU,-7.093,-5.77,0.4784,0.1132,country_area_weighted_mean,6,synthetic
2020-02-03,NLD,-10.639,-8.591,0.3484,0.158,country_area_weighted_mean,6,synthetic
2020-02-03,BEL,-8.299,-7.11,0.2921,0.1401,country_area_weighted_mean,6,synthetic
2020-02-03,ITA,-0.417,-0.56,0.2783,0.0366,country_area_weighted_mean,6,synthetic
2020-02-03,ESP,-1.023,-1.239,0.2728,0.0532,country_area_weighted_mean,6,synthetic
2020-02-03,POL,-9.85,-8.339,0.4623,0.1484,country_area_weighted_mean,6,synthetic
2020-02-03,HUN,-6.618,-4.649,0.2958,0.1137,country_area_weighted_mean,6,synthetic
2020-02-03,ROU,-6.299,-3.609,0.459,0.0984,country_area_weighted_mean,6,synthetic
2020-02-03,BGR,-3.782,-2.262,0.4104,0.0656,country_area_weighted_mean,6,synthetic
