iso3,country,year,item,element,unit,value,release_date,data_realism
FRA,France,2020,chickens,Stocks,1000 head,205358.0,2021-07-15,synthetic
FRA,France,2020,pigs,Stocks,1000 head,12822.4,2021-07-15,synthetic
FRA,France,2020,cattle,Stocks,1000 head,17330.2,2021-07-15,synthetic
FRA,France,2021,chickens,Stocks,1000 head,210391.8,2022-07-15,synthetic
FRA,France,2021,pigs,Stocks,1000 head,13136.7,2022-07-15,synthetic
FRA,France,2021,cattle,Stocks,1000 head,17755.0,2022-07-15,synthetic
FRA,France,2022,chickens,Stocks,1000 head,220960.2,2023-07-15,synthetic
FRA,France,2022,pigs,Stocks,1000 head,13796.5,2023-07-15,synthetic
FRA,France,2022,cattle,Stocks,1000 head,18646.9,2023-07-15,synthetic
FRA,France,2023,chickens,Stocks,1000 head,215582.7,2024-07-15,synthetic
FRA,France,2023,pigs,Stocks,1000 head,13460.8,2024-07-15,synthetic
FRA,France,2023,cattle,Stocks,1000 head,18193.1,2024-07-15,synthetic
FRA,France,2024,chickens,Stocks,1000 head,211541.8,2025-07-15,synthetic
FRA,France,2024,pigs,Stocks,1000 head,13208.5,2025-07-15,synthetic
FRA,France,2024,cattle,Stocks,1000 head,17852.1,2025-07-15,synthetic
FRA,France,2025,chickens,Stocks,1000 head,216693.7,2026-07-15,synthetic
FRA,France,2025,pigs,Stocks,1000 head,13530.1,2026-07-15,synthetic
FRA,France,2025,cattle,Stocks,1000 head,18286.8,2026-07-15,synthetic
DEU,Germany,2020,chickens,Stocks,1000 head,157652.8,2021-07-15,synthetic
DEU,Germany,2020,pigs,Stocks,1000 head,21388.6,2021-07-15,synthetic
DEU,Germany,2020,cattle,Stocks,1000 head,11045.7,2021-07-15,synthetic
DEU,Germany,2021,chickens,Stocks,1000 head,153134.9,2022-07-15,synthetic
DEU,Germany,2021,pigs,Stocks,1000 head,20775.6,2022-07-15,synthetic
DEU,Germany,2021,cattle,Stocks,1000 head,10729.2,2022-07-15,synthetic
DEU,Germany,2022,chickens,Stocks,1000 head,162648.6,2023-07-15,synthetic
DEU,Germany,2022,pigs,Stocks,1000 head,22066.3,2023-07-15,synthetic
DEU,Germany,2022,cattle,Stocks,1000 head,11395.8,2023-07-15,synthetic
DEU,Germany,2023,chickens,Stocks,1000 head,177401.8,2024-07-15,synthetic
DEU,Germany,2023,pigs,Stocks,1000 head,24067.9,2024-07-15,synthetic
DEU,Germany,2023,cattle,Stocks,1000 head,12429.4,2024-07-15,synthetic
DEU,Germany,2024,chickens,Stocks,1000 head,162028.3,2025-07-15,synthetic
DEU,Germany,2024,pigs,Stocks,1000 head,21982.2,2025-07-15,synthetic
DEU,Germany,2024,cattle,Stocks,1000 head,11352.3,2025-07-15,synthetic
DEU,Germany,2025,chickens,Stocks,1000 head,166986.3,2026-07-15,synthetic
DEU,Germany,2025,pigs,Stocks,1000 head,22654.8,2026-07-15,synthetic
DEU,Germany,2025,cattle,Stocks,1000 head,11699.7,2026-07-15,synthetic
NLD,Netherlands,2020,chickens,Stocks,1000 head,99816.9,2021-07-15,synthetic
NLD,Netherlands,2020,pigs,Stocks,1000 head,10979.9,2021-07-15,synthetic
NLD,Netherlands,2020,cattle,Stocks,1000 head,3793.0,2021-07-15,synthetic
NLD,Netherlands,2021,chickens,Stocks,1000 head,99099.5,2022-07-15,synthetic
NLD,Netherlands,2021,pigs,Stocks,1000 head,10900.9,2022-07-15,synthetic
NLD,Netherlands,2021,cattle,Stocks,1000 head,3765.8,2022-07-15,synthetic
NLD,Netherlands,2022,chickens,Stocks,1000 head,100724.8,2023-07-15,synthetic
NLD,Netherlands,2022,pigs,Stocks,1000 head,11079.7,2023-07-15,synthetic
NLD,Netherlands,2022,cattle,Stocks,1000 head,3827.5,2023-07-15,synthetic
NLD,Netherlands,2023,chickens,Stocks,1000 head,101834.1,2024-07-15,synthetic
NLD,Netherlands,2023,pigs,Stocks,1000 head,11201.8,2024-07-15,synthetic
NLD,Netherlands,2023,cattle,Stocks,1000 head,3869.7,2024-07-15,synthetic
NLD,Netherlands,2024,chickens,Stocks,1000 head,100818.1,2025-07-15,synthetic
NLD,Netherlands,2024,pigs,Stocks,1000 head,11090.0,2025-07-15,synthetic
NLD,Netherlands,2024,cattle,Stocks,1000 head,3831.1,2025-07-15,synthetic
NLD,Netherlands,2025,chickens,Stocks,1000 head,107155.4,2026-07-15,synthetic
NLD,Netherlands,2025,pigs,Stocks,1000 head,11787.1,2026-07-15,synthetic
NLD,Netherlands,2025,cattle,Stocks,1000 head,4071.9,2026-07-15,synthetic
BEL,Belgium,2020,chickens,Stocks,1000 head,43464.6,2021-07-15,synthetic
BEL,Belgium,2020,pigs,Stocks,1000 head,6416.2,2021-07-15,synthetic
BEL,Belgium,2020,cattle,Stocks,1000 head,2483.7,2021-07-15,synthetic
BEL,Belgium,2021,chickens,Stocks,1000 head,41173.2,2022-07-15,synthetic
BEL,Belgium,2021,pigs,Stocks,1000 head,6077.9,2022-07-15,synthetic
BEL,Belgium,2021,cattle,Stocks,1000 head,2352.8,2022-07-15,synthetic
BEL,Belgium,2022,chickens,Stocks,1000 head,41067.5,2023-07-15,synthetic
BEL,Belgium,2022,pigs,Stocks,1000 head,6062.3,2023-07-15,synthetic
BEL,Belgium,2022,cattle,Stocks,1000 head,2346.7,2023-07-15,synthetic
BEL,Belgium,2023,chickens,Stocks,1000 head,45279.3,2024-07-15,synthetic
BEL,Belgium,2023,pigs,Stocks,1000 head,6684.1,2024-07-15,synthetic
BEL,Belgium,2023,cattle,Stocks,1000 head,2587.4,2024-07-15,synthetic
BEL,Belgium,2024,chickens,Stocks,1000 head,42604.3,2025-07-15,synthetic
BEL,Belgium,2024,pigs,Stocks,1000 head,6289.2,2025-07-15,synthetic
BEL,Belgium,2024,cattle,Stocks,1000 head,2434.5,2025-07-15,synthetic
BEL,Belgium,2025,chickens,Stocks,1000 head,44143.0,2026-07-15,synthetic
BEL,Belgium,2025,pigs,Stocks,1000 head,6516.3,2026-07-15,synthetic
BEL,Belgium,2025,cattle,Stocks,1000 head,2522.5,2026-07-15,synthetic
ITA,Italy,2020,chickens,Stocks,1000 head,140423.8,2021-07-15,synthetic
ITA,Italy,2020,pigs,Stocks,1000 head,8814.9,2021-07-15,synthetic
ITA,Italy,2020,cattle,Stocks,1000 head,6354.9,2021-07-15,synthetic
ITA,Italy,2021,chickens,Stocks,1000 head,146330.4,2022-07-15,synthetic
ITA,Italy,2021,pigs,Stocks,1000 head,9185.7,2022-07-15,synthetic
ITA,Italy,2021,cattle,Stocks,1000 head,6622.3,2022-07-15,synthetic
ITA,Italy,2022,chickens,Stocks,1000 head,139744.5,2023-07-15,synthetic
ITA,Italy,2022,pigs,Stocks,1000 head,8772.3,2023-07-15,synthetic
ITA,Italy,2022,cattle,Stocks,1000 head,6324.2,2023-07-15,synthetic
ITA,Italy,2023,chickens,Stocks,1000 head,138485.3,2024-07-15,synthetic
ITA,Italy,2023,pigs,Stocks,1000 head,8693.2,2024-07-15,synthetic
ITA,Italy,2023,cattle,Stocks,1000 head,6267.2,2024-07-15,synthetic
ITA,Italy,2024,chickens,Stocks,1000 head,142687.8,2025-07-15,synthetic
ITA,Italy,2024,pigs,Stocks,1000 head,8957.0,2025-07-15,synthetic
ITA,Italy,2024,cattle,Stocks,1000 head,6457.4,2025-07-15,synthetic
ITA,Italy,2025,chickens,Stocks,1000 head,147693.7,2026-07-15,synthetic
ITA,Italy,2025,pigs,Stocks,1000 head,9271.3,2026-07-15,synthetic
ITA,Italy,2025,cattle,Stocks,1000 head,6683.9,2026-07-15,synthetic
ESP,Spain,2020,chickens,Stocks,1000 head,186623.5,2021-07-15,synthetic
ESP,Spain,2020,pigs,Stocks,1000 head,35769.5,2021-07-15,synthetic
ESP,Spain,2020,cattle,Stocks,1000 head,6842.9,2021-07-15,synthetic
ESP,Spain,2021,chickens,Stocks,1000 head,185140.1,2022-07-15,synthetic
ESP,Spain,2021,pigs,Stocks,1000 head,35485.2,2022-07-15,synthetic
ESP,Spain,2021,cattle,Stocks,1000 head,6788.5,2022-07-15,synthetic
ESP,Spain,2022,chickens,Stocks,1000 head,185761.4,2023-07-15,synthetic
ESP,Spain,2022,pigs,Stocks,1000 head,35604.3,2023-07-15,synthetic
ESP,Spain,2022,cattle,Stocks,1000 head,6811.3,2023-07-15,synthetic
ESP,Spain,2023,chickens,Stocks,1000 head,199143.2,2024-07-15,synthetic
ESP,Spain,2023,pigs,Stocks,1000 head,38169.1,2024-07-15,synthetic
ESP,Spain,2023,cattle,Stocks,1000 head,7301.9,2024-07-15,synthetic
ESP,Spain,2024,chickens,Stocks,1000 head,189943.0,2025-07-15,synthetic
ESP,Spain,2024,pigs,Stocks,1000 head,36405.7,2025-07-15,synthetic
ESP,Spain,2024,cattle,Stocks,1000 head,6964.6,2025-07-15,synthetic
ESP,Spain,2025,chickens,Stocks,1000 head,187569.4,2026-07-15,synthetic
ESP,Spain,2025,pigs,Stocks,1000 head,35950.8,2026-07-15,synthetic
ESP,Spain,2025,cattle,Stocks,1000 head,6877.5,2026-07-15,synthetic
POL,Poland,2020,chickens,Stocks,1000 head,206212.1,2021-07-15,synthetic
POL,Poland,2020,pigs,Stocks,1000 head,9390.9,2021-07-15,synthetic
POL,Poland,2020,cattle,Stocks,1000 head,6099.2,2021-07-15,synthetic
POL,Poland,2021,chickens,Stocks,1000 head,205844.7,2022-07-15,synthetic
POL,Poland,2021,pigs,Stocks,1000 head,9374.1,2022-07-15,synthetic
POL,Poland,2021,cattle,Stocks,1000 head,6088.4,2022-07-15,synthetic
POL,Poland,2022,chickens,Stocks,1000 head,216449.5,2023-07-15,synthetic
POL,Poland,2022,pigs,Stocks,1000 head,9857.1,2023-07-15,synthetic
POL,Poland,2022,cattle,Stocks,1000 head,6402.0,2023-07-15,synthetic
POL,Poland,2023,chickens,Stocks,1000 head,227398.7,2024-07-15,synthetic
POL,Poland,2023,pigs,Stocks,1000 head,10355.7,2024-07-15,synthetic
POL,Poland,2023,cattle,Stocks,1000 head,6725.9,2024-07-15,synthetic
POL,Poland,2024,chickens,Stocks,1000 head,233996.5,2025-07-15,synthetic
POL,Poland,2024,pigs,Stocks,1000 head,10656.2,2025-07-15,synthetic
POL,Poland,2024,cattle,Stocks,1000 head,6921.0,2025-07-15,synthetic
POL,Poland,2025,chickens,Stocks,1000 head,233188.0,2026-07-15,synthetic
POL,Poland,2025,pigs,Stocks,1000 head,10619.4,2026-07-15,synthetic
POL,Poland,2025,cattle,Stocks,1000 head,6897.1,2026-07-15,synthetic
HUN,Hungary,2020,chickens,Stocks,1000 head,31686.7,2021-07-15,synthetic
HUN,Hungary,2020,pigs,Stocks,1000 head,2673.6,2021-07-15,synthetic
HUN,Hungary,2020,cattle,Stocks,1000 head,861.5,2021-07-15,synthetic
HUN,Hungary,2021,chickens,Stocks,1000 head,32987.7,2022-07-15,synthetic
HUN,Hungary,2021,pigs,Stocks,1000 head,2783.3,2022-07-15,synthetic
HUN,Hungary,2021,cattle,Stocks,1000 head,896.9,2022-07-15,synthetic
HUN,Hungary,2022,chickens,Stocks,1000 head,30739.9,2023-07-15,synthetic
HUN,Hungary,2022,pigs,Stocks,1000 head,2593.7,2023-07-15,synthetic
HUN,Hungary,2022,cattle,Stocks,1000 head,835.7,2023-07-15,synthetic
HUN,Hungary,2023,chickens,Stocks,1000 head,32672.5,2024-07-15,synthetic
