date,iso3,country,theme,disease_code,n_articles,n_distinct_sources,n_languages,avg_tone,query,data_realism
2020-01-08,FRA,France,ANIMAL_DISEASE_HPAI,HPAI,0,0,1,-6.531,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=FRA,synthetic
2020-01-09,FRA,France,ANIMAL_DISEASE_HPAI,HPAI,1,1,2,-6.795,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=FRA,synthetic
2020-01-11,FRA,France,ANIMAL_DISEASE_HPAI,HPAI,0,0,2,0.068,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=FRA,synthetic
2020-01-12,FRA,France,ANIMAL_DISEASE_HPAI,HPAI,1,1,1,-5.226,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=FRA,synthetic
2020-01-06,DEU,Germany,ANIMAL_DISEASE_HPAI,HPAI,2,2,1,-4.202,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=DEU,synthetic
2020-01-08,DEU,Germany,ANIMAL_DISEASE_HPAI,HPAI,3,2,2,-3.904,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=DEU,synthetic
2020-01-10,DEU,Germany,ANIMAL_DISEASE_HPAI,HPAI,0,0,1,-1.947,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=DEU,synthetic
2020-01-11,DEU,Germany,ANIMAL_DISEASE_HPAI,HPAI,1,1,2,-0.567,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=DEU,synthetic
2020-01-12,DEU,Germany,ANIMAL_DISEASE_HPAI,HPAI,1,1,3,-1.131,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=DEU,synthetic
2020-01-06,NLD,Netherlands,ANIMAL_DISEASE_HPAI,HPAI,3,3,2,-2.794,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=NLD,synthetic
2020-01-08,NLD,Netherlands,ANIMAL_DISEASE_HPAI,HPAI,2,2,2,-3.127,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=NLD,synthetic
2020-01-10,NLD,Netherlands,ANIMAL_DISEASE_HPAI,HPAI,1,1,1,-2.607,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=NLD,synthetic
2020-01-07,BEL,Belgium,ANIMAL_DISEASE_HPAI,HPAI,1,1,3,-3.557,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=BEL,synthetic
2020-01-08,BEL,Belgium,ANIMAL_DISEASE_HPAI,HPAI,3,3,1,-2.952,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=BEL,synthetic
2020-01-09,BEL,Belgium,ANIMAL_DISEASE_HPAI,HPAI,1,1,1,-2.952,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=BEL,synthetic
2020-01-10,BEL,Belgium,ANIMAL_DISEASE_HPAI,HPAI,0,0,3,-1.443,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=BEL,synthetic
2020-01-06,ITA,Italy,ANIMAL_DISEASE_HPAI,HPAI,2,1,1,-2.278,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=ITA,synthetic
2020-01-08,ITA,Italy,ANIMAL_DISEASE_HPAI,HPAI,3,2,2,-2.093,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=ITA,synthetic
2020-01-09,ITA,Italy,ANIMAL_DISEASE_HPAI,HPAI,0,0,2,-4.538,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=ITA,synthetic
2020-01-10,ITA,Italy,ANIMAL_DISEASE_HPAI,HPAI,1,1,2,-2.58,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=ITA,synthetic
2020-01-11,ITA,Italy,ANIMAL_DISEASE_HPAI,HPAI,1,1,3,-7.503,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=ITA,synthetic
2020-01-12,ITA,Italy,ANIMAL_DISEASE_HPAI,HPAI,0,0,2,-3.6,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=ITA,synthetic
2020-01-06,ESP,Spain,ANIMAL_DISEASE_HPAI,HPAI,0,0,4,-3.757,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=ESP,synthetic
2020-01-07,ESP,Spain,ANIMAL_DISEASE_HPAI,HPAI,1,1,2,-2.084,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=ESP,synthetic
2020-01-09,ESP,Spain,ANIMAL_DISEASE_HPAI,HPAI,1,1,3,-2.743,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=ESP,synthetic
