iso3,country,species,reference_year,dataset_version,release_date,total_head,density_head_per_km2,area_km2,layer,aggregation,data_realism
FRA,France,chickens,2010,GLW3,2014-03-01,180400000,326.9923,551695.0,chickens_density,country_sum_of_grid_cells,synthetic
FRA,France,pigs,2010,GLW3,2014-03-01,11264000,20.4171,551695.0,pigs_density,country_sum_of_grid_cells,synthetic
FRA,France,cattle,2010,GLW3,2014-03-01,15224000,27.595,551695.0,cattle_density,country_sum_of_grid_cells,synthetic
FRA,France,chickens,2020,GLW4,2022-06-01,205000000,371.5821,551695.0,chickens_density,country_sum_of_grid_cells,synthetic
FRA,France,pigs,2020,GLW4,2022-06-01,12800000,23.2012,551695.0,pigs_density,country_sum_of_grid_cells,synthetic
FRA,France,cattle,2020,GLW4,2022-06-01,17300000,31.3579,551695.0,cattle_density,country_sum_of_grid_cells,synthetic
DEU,Germany,chickens,2010,GLW3,2014-03-01,138160000,386.5848,357386.0,chickens_density,country_sum_of_grid_cells,synthetic
DEU,Germany,pigs,2010,GLW3,2014-03-01,18744000,52.4475,357386.0,pigs_density,country_sum_of_grid_cells,synthetic
DEU,Germany,cattle,2010,GLW3,2014-03-01,9680000,27.0856,357386.0,cattle_density,country_sum_of_grid_cells,synthetic
DEU,Germany,chickens,2020,GLW4,2022-06-01,157000000,439.3009,357386.0,chickens_density,country_sum_of_grid_cells,synthetic
DEU,Germany,pigs,2020,GLW4,2022-06-01,21300000,59.5994,357386.0,pigs_density,country_sum_of_grid_cells,synthetic
DEU,Germany,cattle,2020,GLW4,2022-06-01,11000000,30.779,357386.0,cattle_density,country_sum_of_grid_cells,synthetic
NLD,Netherlands,chickens,2010,GLW3,2014-03-01,88000000,2118.2871,41543.0,chickens_density,country_sum_of_grid_cells,synthetic
NLD,Netherlands,pigs,2010,GLW3,2014-03-01,9680000,233.0116,41543.0,pigs_density,country_sum_of_grid_cells,synthetic
NLD,Netherlands,cattle,2010,GLW3,2014-03-01,3344000,80.4949,41543.0,cattle_density,country_sum_of_grid_cells,synthetic
NLD,Netherlands,chickens,2020,GLW4,2022-06-01,100000000,2407.1444,41543.0,chickens_density,country_sum_of_grid_cells,synthetic
