alert_id,published_date,iso3,country,disease_code,latitude,longitude,feed,duplicate_of_feed_item,headline,data_realism
HM-0000001,2020-01-09,DEU,Germany,HPAI,53.726,10.887,official,True,[SYNTHETIC] HPAI signal near Germany,synthetic
HM-0000002,2020-01-12,POL,Poland,HPAI,51.884,15.342,social,False,[SYNTHETIC] HPAI signal near Poland,synthetic
HM-0000003,2020-01-09,UKR,Ukraine,HPAI,50.973,31.873,official,False,[SYNTHETIC] HPAI signal near Ukraine,synthetic
HM-0000004,2020-01-12,RUS,Russian Federation,HPAI,56.15,42.088,official,False,[SYNTHETIC] HPAI signal near Russian Federation,synthetic
HM-0000005,2020-01-10,RUS,Russian Federation,HPAI,54.624,37.323,news,False,[SYNTHETIC] HPAI signal near Russian Federation,synthetic
HM-0000006,2020-01-10,TUR,Türkiye,HPAI,41.956,32.054,news,True,[SYNTHETIC] HPAI signal near Türkiye,synthetic
HM-0000007,2020-01-06,EGY,Egypt,HPAI,28.979,31.83,news,True,[SYNTHETIC] HPAI signal near Egypt,synthetic
HM-0000008,2020-01-10,MAR,Morocco,HPAI,30.054,-4.758,news,True,[SYNTHETIC] HPAI signal near Morocco,synthetic
HM-0000009,2020-01-18,NLD,Netherlands,HPAI,52.773,5.884,official,False,[SYNTHETIC] HPAI signal near Netherlands,synthetic
HM-0000010,2020-01-19,BEL,Belgium,HPAI,50.072,5.243,news,True,[SYNTHETIC] HPAI signal near Belgium,synthetic
HM-0000011,2020-01-19,ITA,Italy,HPAI,44.113,14.935,official,True,[SYNTHETIC] HPAI signal near Italy,synthetic
HM-0000012,2020-01-15,ITA,Italy,HPAI,43.842,12.559,news,False,[SYNTHETIC] HPAI signal near Italy,synthetic
HM-0000013,2020-01-13,ESP,Spain,HPAI,38.488,0.253,news,False,[SYNTHETIC] HPAI signal near Spain,synthetic
HM-0000014,2020-01-19,POL,Poland,HPAI,49.796,18.668,news,False,[SYNTHETIC] HPAI signal near Poland,synthetic
HM-0000015,2020-01-13,ROU,Romania,HPAI,45.025,27.001,news,True,[SYNTHETIC] HPAI signal near Romania,synthetic
HM-0000016,2020-01-16,UKR,Ukraine,HPAI,51.329,30.095,news,False,[SYNTHETIC] HPAI signal near Ukraine,synthetic
HM-0000017,2020-01-17,RUS,Russian Federation,HPAI,61.453,39.837,news,False,[SYNTHETIC] HPAI signal near Russian Federation,synthetic
HM-0000018,2020-01-18,RUS,Russian Federation,HPAI,53.736,52.745,social,True,[SYNTHETIC] HPAI signal near Russian Federation,synthetic
HM-0000019,2020-01-17,GEO,Georgia,HPAI,40.799,43.659,news,False,[SYNTHETIC] HPAI signal near Georgia,synthetic
HM-0000020,2020-01-13,ISR,Israel,HPAI,31.816,34.73,news,False,[SYNTHETIC] HPAI signal near Israel,synthetic
HM-0000021,2020-01-13,TUN,Tunisia,HPAI,33.954,7.347,news,False,[SYNTHETIC] HPAI signal near Tunisia,synthetic
HM-0000022,2020-01-15,TUN,Tunisia,HPAI,35.371,8.184,news,False,[SYNTHETIC] HPAI signal near Tunisia,synthetic
HM-0000023,2020-01-20,BEL,Belgium,HPAI,51.448,4.174,news,False,[SYNTHETIC] HPAI signal near Belgium,synthetic
HM-0000024,2020-01-21,BEL,Belgium,HPAI,49.766,4.952,news,False,[SYNTHETIC] HPAI signal near Belgium,synthetic
HM-0000025,2020-01-25,ITA,Italy,HPAI,41.099,10.873,official,False,[SYNTHETIC] HPAI signal near Italy,synthetic
