article_id,published_date,extracted_date,iso3,country,disease_code,disease_mention,relevance_score,is_epidemiological_event,host_mention,language,source_outlet,title,data_realism
PADI-0000001,2020-01-09,2020-01-10,DEU,Germany,HPAI,High pathogenicity avian influenza,0.852,True,Cygnus olor (wild),en,outlet_22,[SYNTHETIC] Reports of HPAI activity in Germany,synthetic
PADI-0000002,2020-01-10,2020-01-11,NLD,Netherlands,HPAI,High pathogenicity avian influenza,0.496,True,Larus spp. (wild),en,outlet_42,[SYNTHETIC] Reports of HPAI activity in Netherlands,synthetic
PADI-0000003,2020-01-07,2020-01-08,ITA,Italy,HPAI,High pathogenicity avian influenza,0.392,False,Larus spp. (wild),en,outlet_10,[SYNTHETIC] Reports of HPAI activity in Italy,synthetic
PADI-0000004,2020-01-12,2020-01-13,ESP,Spain,HPAI,High pathogenicity avian influenza,0.398,False,Anas platyrhynchos (domestic),en,outlet_33,[SYNTHETIC] Reports of HPAI activity in Spain,synthetic
PADI-0000005,2020-01-12,2020-01-13,ESP,Spain,HPAI,High pathogenicity avian influenza,0.697,True,Meleagris gallopavo (domestic),en,outlet_34,[SYNTHETIC] Reports of HPAI activity in Spain,synthetic
PADI-0000006,2020-01-09,2020-01-10,POL,Poland,HPAI,High pathogenicity avian influenza,0.473,True,Cygnus olor (wild),en,outlet_05,[SYNTHETIC] Reports of HPAI activity in Poland,synthetic
PADI-0000007,2020-01-10,2020-01-11,HUN,Hungary,HPAI,High pathogenicity avian influenza,0.43,False,Meleagris gallopavo (domestic),es,outlet_32,[SYNTHETIC] Reports of HPAI activity in Hungary,synthetic
PADI-0000008,2020-01-09,2020-01-10,ROU,Romania,HPAI,High pathogenicity avian influenza,0.743,True,Anas platyrhynchos (domestic),ru,outlet_10,[SYNTHETIC] Reports of HPAI activity in Romania,synthetic
PADI-0000009,2020-01-06,2020-01-07,ROU,Romania,HPAI,High pathogenicity avian influenza,0.911,True,Meleagris gallopavo (domestic),en,outlet_23,[SYNTHETIC] Reports of HPAI activity in Romania,synthetic
PADI-0000010,2020-01-07,2020-01-08,BGR,Bulgaria,HPAI,High pathogenicity avian influenza,0.774,True,Anas platyrhynchos (domestic),fr,outlet_11,[SYNTHETIC] Reports of HPAI activity in Bulgaria,synthetic
PADI-0000011,2020-01-10,2020-01-11,SRB,Serbia,HPAI,High pathogenicity avian influenza,0.56,True,Gallus gallus (domestic),en,outlet_08,[SYNTHETIC] Reports of HPAI activity in Serbia,synthetic
PADI-0000012,2020-01-12,2020-01-13,SRB,Serbia,HPAI,High pathogenicity avian influenza,0.912,True,Meleagris gallopavo (domestic),en,outlet_14,[SYNTHETIC] Reports of HPAI activity in Serbia,synthetic
