post_id,archive_number,published_date,iso3,country,disease_code,subject,curator_comment_present,confidence,data_realism
PROMED-000001,2024000001.0001,2020-01-24,ITA,Italy,HPAI,"[SYNTHETIC] HPAI, animal - Italy",True,suspected,synthetic
PROMED-000002,2024000002.0002,2020-01-31,BGR,Bulgaria,HPAI,"[SYNTHETIC] HPAI, animal - Bulgaria",True,suspected,synthetic
PROMED-000003,2024000003.0003,2020-01-30,ISR,Israel,HPAI,"[SYNTHETIC] HPAI, animal - Israel",True,unverified,synthetic
PROMED-000004,2024000004.0004,2020-02-03,UKR,Ukraine,HPAI,"[SYNTHETIC] HPAI, animal - Ukraine",True,confirmed,synthetic
PROMED-000005,2024000005.0005,2020-02-05,ISR,Israel,HPAI,"[SYNTHETIC] HPAI, animal - Israel",False,unverified,synthetic
PROMED-000006,2024000006.0006,2020-02-14,BGR,Bulgaria,HPAI,"[SYNTHETIC] HPAI, animal - Bulgaria",True,confirmed,synthetic
PROMED-000007,2024000007.0007,2020-02-26,ISR,Israel,HPAI,"[SYNTHETIC] HPAI, animal - Israel",True,suspected,synthetic
PROMED-000008,2024000008.0008,2020-03-10,BEL,Belgium,HPAI,"[SYNTHETIC] HPAI, animal - Belgium",False,unverified,synthetic
PROMED-000009,2024000009.0009,2020-03-08,ITA,Italy,HPAI,"[SYNTHETIC] HPAI, animal - Italy",True,unverified,synthetic
PROMED-000010,2024000010.0010,2020-03-08,HUN,Hungary,HPAI,"[SYNTHETIC] HPAI, animal - Hungary",False,suspected,synthetic
PROMED-000011,2024000011.0011,2020-03-13,GEO,Georgia,HPAI,"[SYNTHETIC] HPAI, animal - Georgia",False,suspected,synthetic
PROMED-000012,2024000012.0012,2020-03-18,FRA,France,HPAI,"[SYNTHETIC] HPAI, animal - France",True,confirmed,synthetic
PROMED-000013,2024000013.0013,2020-03-12,HUN,Hungary,HPAI,"[SYNTHETIC] HPAI, animal - Hungary",True,unverified,synthetic
PROMED-000014,2024000014.0014,2020-03-16,MAR,Morocco,HPAI,"[SYNTHETIC] HPAI, animal - Morocco",False,suspected,synthetic
PROMED-000015,2024000015.0015,2020-03-24,SRB,Serbia,HPAI,"[SYNTHETIC] HPAI, animal - Serbia",False,suspected,synthetic
PROMED-000016,2024000016.0016,2020-03-26,TUN,Tunisia,HPAI,"[SYNTHETIC] HPAI, animal - Tunisia",False,unverified,synthetic
PROMED-000017,2024000017.0017,2020-04-01,POL,Poland,HPAI,"[SYNTHETIC] HPAI, animal - Poland",True,suspected,synthetic
PROMED-000018,2024000018.0018,2020-04-05,GEO,Georgia,HPAI,"[SYNTHETIC] HPAI, animal - Georgia",True,suspected,synthetic
PROMED-000019,2024000019.0019,2020-04-13,NLD,Netherlands,HPAI,"[SYNTHETIC] HPAI, animal - Netherlands",True,confirmed,synthetic
PROMED-000020,2024000020.0020,2020-04-17,BEL,Belgium,HPAI,"[SYNTHETIC] HPAI, animal - Belgium",True,suspected,synthetic
PROMED-000021,2024000021.0021,2020-04-16,FRA,France,HPAI,"[SYNTHETIC] HPAI, animal - France",True,confirmed,synthetic
PROMED-000022,2024000022.0022,2020-04-22,POL,Poland,HPAI,"[SYNTHETIC] HPAI, animal - Poland",False,confirmed,synthetic
PROMED-000023,2024000023.0023,2020-04-24,RUS,Russian Federation,HPAI,"[SYNTHETIC] HPAI, animal - Russian Federation",False,suspected,synthetic
PROMED-000024,2024000024.0024,2020-04-20,MAR,Morocco,HPAI,"[SYNTHETIC] HPAI, animal - Morocco",False,suspected,synthetic
PROMED-000025,2024000025.0025,2020-04-30,DEU,Germany,HPAI,"[SYNTHETIC] HPAI, animal - Germany",True,suspected,synthetic
PROMED-000026,2024000026.0026,2020-04-28,NLD,Netherlands,HPAI,"[SYNTHETIC] HPAI, animal - Netherlands",False,unverified,synthetic
PROMED-000027,2024000027.0027,2020-04-30,BEL,Belgium,HPAI,"[SYNTHETIC] HPAI, animal - Belgium",True,confirmed,synthetic
PROMED-000028,2024000028.0028,2020-04-26,ROU,Romania,HPAI,"[SYNTHETIC] HPAI, animal - Romania",True,suspected,synthetic
PROMED-000029,2024000029.0029,2020-04-24,UKR,Ukraine,HPAI,"[SYNTHETIC] HPAI, animal - Ukraine",True,suspected,synthetic
PROMED-000030,2024000030.0030,2020-04-26,RUS,Russian Federation,HPAI,"[SYNTHETIC] HPAI, animal - Russian Federation",False,confirmed,synthetic
PROMED-000031,2024000031.0031,2020-04-30,TUR,Türkiye,HPAI,"[SYNTHETIC] HPAI, animal - Türkiye",False,unverified,synthetic
PROMED-000032,2024000032.0032,2020-05-08,ESP,Spain,HPAI,"[SYNTHETIC] HPAI, animal - Spain",True,confirmed,synthetic
PROMED-000033,2024000033.0033,2020-05-08,ROU,Romania,HPAI,"[SYNTHETIC] HPAI, animal - Romania",False,suspected,synthetic
PROMED-000034,2024000034.0034,2020-04-30,MDA,Moldova,HPAI,"[SYNTHETIC] HPAI, animal - Moldova",True,unverified,synthetic
PROMED-000035,2024000035.0035,2020-05-13,DEU,Germany,HPAI,"[SYNTHETIC] HPAI, animal - Germany",False,confirmed,synthetic
PROMED-000036,2024000036.0036,2020-05-15,BEL,Belgium,HPAI,"[SYNTHETIC] HPAI, animal - Belgium",True,confirmed,synthetic
PROMED-000037,2024000037.0037,2020-05-14,ITA,Italy,HPAI,"[SYNTHETIC] HPAI, animal - Italy",False,confirmed,synthetic
PROMED-000038,2024000038.0038,2020-05-06,MDA,Moldova,HPAI,"[SYNTHETIC] HPAI, animal - Moldova",True,suspected,synthetic
PROMED-000039,2024000039.0039,2020-05-06,RUS,Russian Federation,HPAI,"[SYNTHETIC] HPAI, animal - Russian Federation",False,unverified,synthetic
PROMED-000040,2024000040.0040,2020-05-08,GEO,Georgia,HPAI,"[SYNTHETIC] HPAI, animal - Georgia",True,suspected,synthetic
PROMED-000041,2024000041.0041,2020-05-13,DEU,Germany,HPAI,"[SYNTHETIC] HPAI, animal - Germany",False,confirmed,synthetic
PROMED-000042,2024000042.0042,2020-05-17,NLD,Netherlands,HPAI,"[SYNTHETIC] HPAI, animal - Netherlands",True,unverified,synthetic
