event_id,outbreak_id,report_type,report_number,disease,disease_code,serotype,country,iso3,admin1,locality,latitude,longitude,location_precision,start_date,date_of_suspicion,date_of_confirmation,date_of_notification,date_of_publication,event_status,diagnosis,species,host_category,is_wild,outbreaks,susceptible,cases,deaths,killed_and_disposed,is_first_occurrence,control_measures,data_realism
WAHIS-HPAI-BEL-2020-01-06,WAHIS-HPAI-BEL-2020-01-06-00,immediate_notification,1,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds),HPAI,H5N1,Belgium,BEL,BEL-R2,Belgium locality 1,50.7396,4.9223,point,2020-01-10,2020-01-13,2020-01-14,2020-01-15,2020-01-17,resolved,laboratory_confirmed,Meleagris gallopavo (domestic),domestic,False,1,12118,2159,1173,2860,True,stamping_out;movement_control;disinfection,synthetic
WAHIS-HPAI-ITA-2020-01-13,WAHIS-HPAI-ITA-2020-01-13-00,immediate_notification,1,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds),HPAI,H5N1,Italy,ITA,ITA-R4,Italy locality 3,41.2772,11.6349,point,2020-01-18,2020-01-19,2020-01-21,2020-01-22,2020-01-27,resolved,laboratory_confirmed,Cygnus olor (wild),wild,True,1,8450,3112,1721,4150,True,stamping_out;movement_control;disinfection,synthetic
WAHIS-HPAI-ISR-2020-01-06,WAHIS-HPAI-ISR-2020-01-06-00,immediate_notification,1,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds),HPAI,H5N1,Israel,ISR,ISR-R3,Israel locality 2,31.5737,35.4609,point,2020-01-11,2020-01-13,2020-01-18,2020-01-23,2020-01-29,resolved,laboratory_confirmed,Larus spp. (wild),wild,True,1,12647,1898,1025,2568,True,stamping_out;movement_control;disinfection,synthetic
WAHIS-HPAI-DEU-2020-01-20,WAHIS-HPAI-DEU-2020-01-20-00,immediate_notification,1,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds),HPAI,H5N1,Germany,DEU,DEU-R8,Germany locality 7,50.9729,8.2662,point,2020-01-23,2020-01-26,2020-01-27,2020-01-30,2020-01-31,resolved,laboratory_confirmed,Meleagris gallopavo (domestic),domestic,False,1,74976,10011,5535,13494,True,stamping_out;movement_control;disinfection,synthetic
WAHIS-HPAI-UKR-2020-01-13,WAHIS-HPAI-UKR-2020-01-13-00,immediate_notification,1,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds),HPAI,H5N1,Ukraine,UKR,UKR-R5,Ukraine locality 4,52.3672,30.9586,point,2020-01-17,2020-01-22,2020-01-24,2020-01-29,2020-01-31,resolved,laboratory_confirmed,Anas platyrhynchos (domestic),domestic,False,1,33513,5025,2792,6821,True,stamping_out;movement_control;disinfection,synthetic
WAHIS-HPAI-RUS-2020-01-13,WAHIS-HPAI-RUS-2020-01-13-00,immediate_notification,1,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds),HPAI,H5N1,Russian Federation,RUS,RUS-R6,Russian Federation locality 5,50.7788,40.6814,point,2020-01-15,2020-01-27,2020-01-28,2020-01-29,2020-02-01,resolved,laboratory_confirmed,Cygnus olor (wild),wild,True,1,23682,3637,1949,4879,True,stamping_out;movement_control;disinfection,synthetic
WAHIS-HPAI-ISR-2020-01-20,WAHIS-HPAI-ISR-2020-01-20-00,immediate_notification,1,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds),HPAI,H5N1,Israel,ISR,ISR-R3,Israel locality 11,31.0203,34.5383,point,2020-01-25,2020-01-31,2020-02-02,2020-02-04,2020-02-07,resolved,laboratory_confirmed,Gallus gallus (domestic),domestic,False,1,11892,1879,1078,2513,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-HPAI-ITA-2020-01-20,WAHIS-HPAI-ITA-2020-01-20-01,immediate_notification,1,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds),HPAI,H5N1,Italy,ITA,ITA-R1,Italy locality 9,45.3004,11.3156,point,2020-01-21,2020-01-29,2020-01-31,2020-02-02,2020-02-07,resolved,laboratory_confirmed,Anas platyrhynchos (domestic),domestic,False,1,4389,2412,1316,3185,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-HPAI-BGR-2020-01-20,WAHIS-HPAI-BGR-2020-01-20-00,immediate_notification,1,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds),HPAI,H5N1,Bulgaria,BGR,BGR-R2,Bulgaria locality 10,44.2553,24.7872,point,2020-01-23,2020-01-26,2020-01-28,2020-02-08,2020-02-09,resolved,laboratory_confirmed,Larus spp. (wild),wild,True,1,11755,6463,3475,8681,True,stamping_out;movement_control;disinfection,synthetic
WAHIS-HPAI-ITA-2020-02-03,WAHIS-HPAI-ITA-2020-02-03-00,immediate_notification,1,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds),HPAI,H5N1,Italy,ITA,ITA-R6,Italy locality 14,43.2841,9.6003,point,2020-02-05,2020-02-09,2020-02-12,2020-02-17,2020-02-19,resolved,laboratory_confirmed,Larus spp. (wild),wild,True,1,17510,2420,1366,3313,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-HPAI-ISR-2020-02-03,WAHIS-HPAI-ISR-2020-02-03-01,immediate_notification,1,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds),HPAI,H5N1,Israel,ISR,ISR-R9,Israel locality 17,31.8709,35.3255,point,2020-02-03,2020-02-10,2020-02-11,2020-02-16,2020-02-21,resolved,laboratory_confirmed,Anas platyrhynchos (domestic),domestic,False,1,7973,1122,637,1526,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-HPAI-ISR-2020-02-10,WAHIS-HPAI-ISR-2020-02-10-00,immediate_notification,1,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds),HPAI,H5N1,Israel,ISR,ISR-R1,Israel locality 18,31.7001,34.9963,point,2020-02-15,2020-02-17,2020-02-18,2020-02-20,2020-02-21,resolved,laboratory_confirmed,Meleagris gallopavo (domestic),domestic,False,1,5100,748,395,1031,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-HPAI-UKR-2020-01-27,WAHIS-HPAI-UKR-2020-01-27-00,immediate_notification,1,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds),HPAI,H5N1,Ukraine,UKR,UKR-R5,Ukraine locality 13,51.9894,32.5589,point,2020-01-31,2020-02-14,2020-02-16,2020-02-19,2020-02-21,resolved,laboratory_confirmed,Larus spp. (wild),wild,True,1,97494,11315,6262,15229,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-HPAI-SRB-2020-02-03,WAHIS-HPAI-SRB-2020-02-03-00,immediate_notification,1,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds),HPAI,H5N1,Serbia,SRB,SRB-R7,Serbia locality 15,43.8866,20.1558,point,2020-02-08,2020-02-14,2020-02-18,2020-02-22,2020-02-25,resolved,laboratory_confirmed,Anas platyrhynchos (domestic),domestic,False,1,53951,7213,3974,9781,True,stamping_out;movement_control;disinfection,synthetic
WAHIS-HPAI-ESP-2020-01-27,WAHIS-HPAI-ESP-2020-01-27-00,immediate_notification,1,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds),HPAI,H5N1,Spain,ESP,ESP-R4,Spain locality 12,39.2866,-2.2874,point,2020-02-02,2020-02-12,2020-02-19,2020-02-24,2020-02-26,resolved,laboratory_confirmed,Anas platyrhynchos (domestic),domestic,False,1,9298,3675,2042,4880,True,stamping_out;movement_control;disinfection,synthetic
