iso3,month,tavg_c,tmin_c,tmax_c,prec_mm,reference_period,data_realism
FRA,1,-6.089,-11.289,-0.489,174.23,1970-2000 (synthetic analogue),synthetic
FRA,2,-5.559,-10.759,0.041,185.65,1970-2000 (synthetic analogue),synthetic
FRA,3,-1.12,-6.32,4.48,182.26,1970-2000 (synthetic analogue),synthetic
FRA,4,6.128,0.928,11.728,164.95,1970-2000 (synthetic analogue),synthetic
FRA,5,14.27,9.07,19.87,137.9,1970-2000 (synthetic analogue),synthetic
FRA,6,21.23,16.03,26.83,107.96,1970-2000 (synthetic analogue),synthetic
FRA,7,24.895,19.695,30.495,84.13,1970-2000 (synthetic analogue),synthetic
FRA,8,24.379,19.179,29.979,72.16,1970-2000 (synthetic analogue),synthetic
FRA,9,19.761,14.561,25.361,75.75,1970-2000 (synthetic analogue),synthetic
FRA,10,12.425,7.225,18.025,93.61,1970-2000 (synthetic analogue),synthetic
FRA,11,4.291,-0.909,9.891,120.85,1970-2000 (synthetic analogue),synthetic
FRA,12,-2.467,-7.667,3.133,150.18,1970-2000 (synthetic analogue),synthetic
DEU,1,-9.361,-14.561,-3.761,175.49,1970-2000 (synthetic analogue),synthetic
DEU,2,-8.786,-13.986,-3.186,187.0,1970-2000 (synthetic analogue),synthetic
DEU,3,-3.963,-9.163,1.637,183.58,1970-2000 (synthetic analogue),synthetic
DEU,4,3.911,-1.289,9.511,166.15,1970-2000 (synthetic analogue),synthetic
DEU,5,12.756,7.556,18.356,138.9,1970-2000 (synthetic analogue),synthetic
DEU,6,20.317,15.117,25.917,108.74,1970-2000 (synthetic analogue),synthetic
DEU,7,24.299,19.099,29.899,84.74,1970-2000 (synthetic analogue),synthetic
DEU,8,23.738,18.538,29.338,72.68,1970-2000 (synthetic analogue),synthetic
DEU,9,18.721,13.521,24.321,76.3,1970-2000 (synthetic analogue),synthetic
DEU,10,10.752,5.552,16.352,94.29,1970-2000 (synthetic analogue),synthetic
DEU,11,1.915,-3.285,7.515,121.73,1970-2000 (synthetic analogue),synthetic
DEU,12,-5.427,-10.627,0.173,151.27,1970-2000 (synthetic analogue),synthetic
NLD,1,-10.072,-15.272,-4.472,175.07,1970-2000 (synthetic analogue),synthetic
NLD,2,-9.487,-14.687,-3.887,186.55,1970-2000 (synthetic analogue),synthetic
NLD,3,-4.581,-9.781,1.019,183.14,1970-2000 (synthetic analogue),synthetic
NLD,4,3.429,-1.771,9.029,165.74,1970-2000 (synthetic analogue),synthetic
NLD,5,12.427,7.227,18.027,138.56,1970-2000 (synthetic analogue),synthetic
NLD,6,20.118,14.918,25.718,108.48,1970-2000 (synthetic analogue),synthetic
NLD,7,24.169,18.969,29.769,84.54,1970-2000 (synthetic analogue),synthetic
NLD,8,23.599,18.399,29.199,72.5,1970-2000 (synthetic analogue),synthetic
NLD,9,18.495,13.295,24.095,76.12,1970-2000 (synthetic analogue),synthetic
NLD,10,10.388,5.188,15.988,94.06,1970-2000 (synthetic analogue),synthetic
NLD,11,1.399,-3.801,6.999,121.43,1970-2000 (synthetic analogue),synthetic
NLD,12,-6.07,-11.27,-0.47,150.9,1970-2000 (synthetic analogue),synthetic
BEL,1,-8.934,-14.134,-3.334,175.63,1970-2000 (synthetic analogue),synthetic
BEL,2,-8.365,-13.565,-2.765,187.15,1970-2000 (synthetic analogue),synthetic
BEL,3,-3.593,-8.793,2.007,183.73,1970-2000 (synthetic analogue),synthetic
BEL,4,4.2,-1.0,9.8,166.28,1970-2000 (synthetic analogue),synthetic
BEL,5,12.954,7.754,18.554,139.01,1970-2000 (synthetic analogue),synthetic
BEL,6,20.436,15.236,26.036,108.83,1970-2000 (synthetic analogue),synthetic
BEL,7,24.376,19.176,29.976,84.81,1970-2000 (synthetic analogue),synthetic
BEL,8,23.821,18.621,29.421,72.74,1970-2000 (synthetic analogue),synthetic
BEL,9,18.857,13.657,24.457,76.36,1970-2000 (synthetic analogue),synthetic
